Starting Training Loop...
[5/20][200/434]	Loss_D: 0.8395	Loss_G: 4.4860	D(x): 0.8806	D(G(z)): 0.4544 / 0.0189
[5/20][250/434]	Loss_D: 0.8470	Loss_G: 2.4071	D(x): 0.5864	D(G(z)): 0.1693 / 0.1136
[5/20][300/434]	Loss_D: 0.9379	Loss_G: 3.8091	D(x): 0.7211	D(G(z)): 0.3944 / 0.0337
[5/20][350/434]	Loss_D: 0.9425	Loss_G: 5.0404	D(x): 0.9157	D(G(z)): 0.4944 / 0.0113
[5/20][400/434]	Loss_D: 0.6921	Loss_G: 3.4789	D(x): 0.7497	D(G(z)): 0.2818 / 0.0473
[6/20][0/434]	Loss_D: 1.1832	Loss_G: 5.9603	D(x): 0.7161	D(G(z)): 0.4377 / 0.0161
[6/20][50/434]	Loss_D: 0.4894	Loss_G: 2.9410	D(x): 0.7354	D(G(z)): 0.1006 / 0.0719
[6/20][100/434]	Loss_D: 0.8429	Loss_G: 4.5459	D(x): 0.8849	D(G(z)): 0.4678 / 0.0200
[6/20][150/434]	Loss_D: 0.9435	Loss_G: 1.6870	D(x): 0.5922	D(G(z)): 0.2451 / 0.2263
[6/20][200/434]	Loss_D: 1.5130	Loss_G: 1.1872	D(x): 0.2971	D(G(z)): 0.0704 / 0.3679
[6/20][250/434]	Loss_D: 0.9324	Loss_G: 2.1172	D(x): 0.5874	D(G(z)): 0.2562 / 0.1490
[6/20][300/434]	Loss_D: 0.5659	Loss_G: 3.1184	D(x): 0.7554	D(G(z)): 0.2090 / 0.0568
[6/20][350/434]	Loss_D: 0.5884	Loss_G: 2.9677	D(x): 0.7153	D(G(z)): 0.1810 / 0.0669
[6/20][400/434]	Loss_D: 1.0430	Loss_G: 4.8479	D(x): 0.8976	D(G(z)): 0.5261 / 0.0159
[7/20][0/434]	Loss_D: 1.0055	Loss_G: 3.0666	D(x): 0.8410	D(G(z)): 0.5173 / 0.0678
[7/20][50/434]	Loss_D: 0.8642	Loss_G: 3.2526	D(x): 0.8047	D(G(z)): 0.4235 / 0.0589
[7/20][100/434]	Loss_D: 1.1265	Loss_G: 2.5492	D(x): 0.7592	D(G(z)): 0.5166 / 0.1080
[7/20][150/434]	Loss_D: 1.3337	Loss_G: 4.0568	D(x): 0.8214	D(G(z)): 0.6161 / 0.0271
[7/20][200/434]	Loss_D: 1.0798	Loss_G: 3.2530	D(x): 0.6735	D(G(z)): 0.4123 / 0.0649
[7/20][250/434]	Loss_D: 1.2160	Loss_G: 1.3167	D(x): 0.4184	D(G(z)): 0.1558 / 0.3316
[7/20][300/434]	Loss_D: 0.8101	Loss_G: 2.1242	D(x): 0.7679	D(G(z)): 0.3402 / 0.1464
[7/20][350/434]	Loss_D: 0.7764	Loss_G: 2.9581	D(x): 0.8475	D(G(z)): 0.4056 / 0.0766
[7/20][400/434]	Loss_D: 0.8655	Loss_G: 3.3789	D(x): 0.6903	D(G(z)): 0.3202 / 0.0532
[8/20][0/434]	Loss_D: 1.5288	Loss_G: 5.7051	D(x): 0.8094	D(G(z)): 0.6081 / 0.0084
[8/20][50/434]	Loss_D: 0.9606	Loss_G: 2.4178	D(x): 0.8372	D(G(z)): 0.4896 / 0.1187
[8/20][100/434]	Loss_D: 1.1115	Loss_G: 3.2321	D(x): 0.8231	D(G(z)): 0.5008 / 0.0583
[8/20][150/434]	Loss_D: 1.3738	Loss_G: 3.0576	D(x): 0.9370	D(G(z)): 0.6357 / 0.0733
[8/20][200/434]	Loss_D: 0.7748	Loss_G: 1.8921	D(x): 0.6141	D(G(z)): 0.1843 / 0.2025
[8/20][250/434]	Loss_D: 0.9053	Loss_G: 2.2211	D(x): 0.6006	D(G(z)): 0.2545 / 0.1450
[8/20][300/434]	Loss_D: 0.8591	Loss_G: 2.4333	D(x): 0.5781	D(G(z)): 0.1873 / 0.1280
[8/20][350/434]	Loss_D: 0.5461	Loss_G: 2.3700	D(x): 0.7479	D(G(z)): 0.1863 / 0.1237
[8/20][400/434]	Loss_D: 0.8481	Loss_G: 2.9518	D(x): 0.7353	D(G(z)): 0.3469 / 0.0737
[9/20][0/434]	Loss_D: 1.2398	Loss_G: 1.6395	D(x): 0.5507	D(G(z)): 0.2937 / 0.2595
[9/20][50/434]	Loss_D: 0.6943	Loss_G: 2.0153	D(x): 0.6565	D(G(z)): 0.1685 / 0.1673
[9/20][100/434]	Loss_D: 1.5142	Loss_G: 2.8399	D(x): 0.9381	D(G(z)): 0.6979 / 0.0824
[9/20][150/434]	Loss_D: 1.0143	Loss_G: 1.4338	D(x): 0.4701	D(G(z)): 0.0920 / 0.2933
[9/20][200/434]	Loss_D: 0.8094	Loss_G: 2.8596	D(x): 0.7321	D(G(z)): 0.3287 / 0.0813
[9/20][250/434]	Loss_D: 0.8380	Loss_G: 2.4983	D(x): 0.5307	D(G(z)): 0.0789 / 0.1350
[9/20][300/434]	Loss_D: 1.1240	Loss_G: 2.9899	D(x): 0.8550	D(G(z)): 0.5786 / 0.0647
[9/20][350/434]	Loss_D: 0.8511	Loss_G: 5.2382	D(x): 0.9275	D(G(z)): 0.4683 / 0.0092
[9/20][400/434]	Loss_D: 0.7192	Loss_G: 1.7133	D(x): 0.6177	D(G(z)): 0.1363 / 0.2360
[10/20][0/434]	Loss_D: 2.7969	Loss_G: 1.0530	D(x): 0.1321	D(G(z)): 0.0233 / 0.4607
[10/20][50/434]	Loss_D: 1.0683	Loss_G: 2.8323	D(x): 0.6946	D(G(z)): 0.4376 / 0.0884
[10/20][100/434]	Loss_D: 1.3237	Loss_G: 4.3605	D(x): 0.8771	D(G(z)): 0.6374 / 0.0200
